row_id,name,name_dv,constituency,constituency_dv,amount,source_page,source_row,source_id
rti20--029,alfaazil ameen faisal,އަލްފާޟިލް އަމީން ފައިޞަލް,kanditheemu dhaairaa,ކަނޑިތީމު ދާއިރާ,192000,1,,rti-20th-majlis-insurance-2024-2026
rti20--030,alfaazil hasan mufeedhu abdhulqaadhiru,އަލްފާޟިލް ޙަސަން މުފީދު ޢަބްދުލްޤާދިރު,milandhoo dhaairaa,މިލަންދޫ ދާއިރާ,288000,1,,rti-20th-majlis-insurance-2024-2026
rti20--031,alfaazil muhamadhu ibraaheem,އަލްފާޟިލް މުޙައްމަދު އިބްރާހީމް,komandoo dhaairaa,ކޮމަންޑޫ ދާއިރާ,144000,1,,rti-20th-majlis-insurance-2024-2026
rti20--032,alfaazil muhamadhu mamdhooh,އަލްފާޟިލް މުޙައްމަދު މަމްދޫޙް,funadhoo dhaairaa,ފުނަދޫ ދާއިރާ,48000,1,,rti-20th-majlis-insurance-2024-2026
rti20--033,muhamadhu afoo haamidhu,މުޙައްމަދު ޢަފޫ ޙާމިދު,kendhikulhudhoo dhaairaa,ކެނދިކުޅުދޫ ދާއިރާ,192000,1,,rti-20th-majlis-insurance-2024-2026
rti20--034,alusthaadhu husnee mubaarik,އަލްއުސްތާޛު ޙުސްނީ މުބާރިކް,manadhoo dhaairaa,މަނަދޫ ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--035,alfaazil muhamadhu abaas,އަލްފާޟިލް މުޙައްމަދު ޢައްބާސް,velidhoo dhaairaa,ވެލިދޫ ދާއިރާ,216000,2,,rti-20th-majlis-insurance-2024-2026
rti20--036,alusthaadhu abdhusathaaru muhamadhu,އަލްއުސްތާޛު ޢަބްދުއްސައްތާރު މުޙައްމަދު,holhudhoo dhaairaa,ހޮޅުދޫ ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--037,alfaazil abdhulateef abdhurahmaanu,އަލްފާޟިލް ޢަބްދުއްލަޠީފް ޢަބްދުއްރަޙްމާނު,alifushi dhaairaa,އަލިފުށި ދާއިރާ,144000,2,,rti-20th-majlis-insurance-2024-2026
rti20--038,alfaazil ibraaheem shifaaz,އަލްފާޟިލް އިބްރާހީމް ޝިފާޒް,ungoofaaru dhaairaa,އުނގޫފާރު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--039,alfaazil muhamadhu alee,އަލްފާޟިލް މުޙައްމަދު ޢަލީ,dhuvaafaru dhaairaa,ދުވާފަރު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--040,alfaazil ibraaheem falaah,އަލްފާޟިލް އިބްރާހީމް ފަލާޙް,inguraidhoo dhaairaa,އިނގުރައިދޫ ދާއިރާ,216000,2,,rti-20th-majlis-insurance-2024-2026
rti20--041,alfaazil ahmadhu zaahiru,އަލްފާޟިލް އަޙްމަދު ޒާހިރު,maduvari dhaairaa,މަޑުއްވަރި ދާއިރާ,312000,2,,rti-20th-majlis-insurance-2024-2026
rti20--042,alfaazil abdhulhannaan aboobakuru,އަލްފާޟިލް ޢަބްދުލްޙަންނާން އަބޫބަކުރު,thulhaadhoo dhaairaa,ތުޅާދޫ ދާއިރާ,96000,2,,rti-20th-majlis-insurance-2024-2026
rti20--043,alfaazil ahmadhu saleem,އަލްފާޟިލް އަޙްމަދު ސަލީމް,eydhafushi dhaairaa,އޭދަފުށި ދާއިރާ,96000,2,,rti-20th-majlis-insurance-2024-2026
rti20--044,alfaazil mauroof dhaakiru,އަލްފާޟިލް މަޢުރޫފް ޛާކިރު,kendhoo dhaairaa,ކެންދޫ ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--045,alfaazil muhamadhu siruhaan,އަލްފާޟިލް މުޙައްމަދު ސިރުހާން,hithaadhoo dhaairaa,ހިތާދޫ ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--046,alfaazil muhamadhu abdhurahmaan,އަލްފާޟިލް މުޙައްމަދު ޢަބްދުއްރަޙްމާން,hinnavaru dhaairaa,ހިންނަވަރު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--047,alfaazil yaaseen abdhuullah,އަލްފާޟިލް ޔާސީން ޢަބްދުﷲ,naifaru dhaairaa,ނައިފަރު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--048,lfaazil muhamadhu shaamin habeebu,އލްފާޟިލް މުޙައްމަދު ޝާމިން ޙަބީބު,kurendhoo dhaairaa,ކުރެންދޫ ދާއިރާ,216000,2,,rti-20th-majlis-insurance-2024-2026
rti20--049,alfaazil munthazim ibraaheem,އަލްފާޟިލް މުންތަޡިމް އިބްރާހީމް,kaashidhoo dhaairaa,ކާށިދޫ ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--050,alfaazil ibraaheem naseem,އަލްފާޟިލް އިބްރާހީމް ނަސީމް,thulusdhoo dhaairaa,ތުލުސްދޫ ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--051,alusthaadhu husain rizaa aadham,އަލްއުސްތާޛު ޙުސައިން ރިޟާ އާދަމް,maafushi dhaairaa,މާފުށި ދާއިރާ,48000,2,,rti-20th-majlis-insurance-2024-2026
rti20--052,doktar anaaraa naeem,ޑޮކްޓަރ އަނާރާ ނަޢީމް,huraa dhaairaa,ހުރާ ދާއިރާ,48000,2,,rti-20th-majlis-insurance-2024-2026
rti20--053,alfaazil hasan zareeru,އަލްފާޟިލް ޙަސަން ޒަރީރު,mathiveri dhaairaa,މަތިވެރި ދާއިރާ,168000,2,,rti-20th-majlis-insurance-2024-2026
rti20--054,alfaazil husain sameeru,އަލްފާޟިލް ޙުސައިން ސަމީރު,thodoo dhaairaa,ތޮއްޑޫ ދާއިރާ,168000,2,,rti-20th-majlis-insurance-2024-2026
rti20--055,alfaazil qaasim ibraaheem,އަލްފާޟިލް ޤާސިމް އިބްރާހީމް,maamigili dhaairaa,މާމިގިލި ދާއިރާ,528000,2,,rti-20th-majlis-insurance-2024-2026
rti20--056,alfaazil ahmadhu taariq,އަލްފާޟިލް އަޙްމަދު ޠާރިޤް,mahibadhoo dhaairaa,މަހިބަދޫ ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--057,alfaazil abdhuullah rasheedhu,އަލްފާޟިލް ޢަބްދުﷲ ރަޝީދު,dhangethi dhaairaa,ދަނގެތި ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--058,alfaazil aadham zaahiru,އަލްފާޟިލް އާދަމް ޒާހިރު,felidhoo dhaairaa,ފެލިދޫ ދާއިރާ,96000,2,,rti-20th-majlis-insurance-2024-2026
rti20--059,alfaazil muhamadhu niushaadhu,އަލްފާޟިލް މުޙައްމަދު ނިއުޝާދު,keyodhoo dhaairaa,ކެޔޮދޫ ދާއިރާ,192000,2,,rti-20th-majlis-insurance-2024-2026
rti20--060,alfaazil ahmadhu naazim,އަލްފާޟިލް އަޙްމަދު ނާޒިމް,dhigaru dhaairaa,ދިއްގަރު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--061,alfaazil ibraaheem naufal,އަލްފާޟިލް އިބްރާހީމް ނައުފަލް,mulaku dhaairaa,މުލަކު ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--062,alfaazil ahmadhu aslam,އަލްފާޟިލް އަޙްމަދު އަސްލަމް,bilethdhoo dhaairaa,ބިލެތްދޫ ދާއިރާ,120000,2,,rti-20th-majlis-insurance-2024-2026
rti20--063,alfaazilaa faatimathu saudhaa,އަލްފާޟިލާ ފާޠިމަތު ސަޢުދާ,nilandhoo dhaairaa,ނިލަންދޫ ދާއިރާ,240000,2,,rti-20th-majlis-insurance-2024-2026
rti20--064,alfaazil ahmadhu siyaam muhamadhu,އަލްފާޟިލް އަޙްމަދު ސިޔާމް މުޙައްމަދު,meedhoo dhaairaa,މީދޫ ދާއިރާ,144000,2,,rti-20th-majlis-insurance-2024-2026
rti20--065,alfaazil husain hameedhu,އަލްފާޟިލް ޙުސައިން ޙަމީދު,kudahuvadhoo dhaairaa,ކުޑަހުވަދޫ ދާއިރާ,144000,2,,rti-20th-majlis-insurance-2024-2026
rti20--066,alfaazil hasan vaheedhu,އަލްފާޟިލް ޙަސަން ވަޙީދު,vilufushi dhaairaa,ވިލުފުށި ދާއިރާ,240000,3,,rti-20th-majlis-insurance-2024-2026
rti20--067,alfaazil ahmadhu riyaaz,އަލްފާޟިލް އަޙްމަދު ރިޔާޟް,thimarafushi dhaairaa,ތިމަރަފުށި ދާއިރާ,96000,3,,rti-20th-majlis-insurance-2024-2026
rti20--068,alfaazil alee ashraq,އަލްފާޟިލް ޢަލީ އަޝްރަޤް,kinbidhoo dhaairaa,ކިނބިދޫ ދާއިރާ,48000,3,,rti-20th-majlis-insurance-2024-2026
rti20--069,alfaazil hanaan muhamadhu rasheedhu,އަލްފާޟިލް ހަނާން މުޙައްމަދު ރަޝީދު,guraidhoo dhaairaa,ގުރައިދޫ ދާއިރާ,96000,3,,rti-20th-majlis-insurance-2024-2026
rti20--070,alfaazil ismaaeel shafeeu,އަލްފާޟިލް އިސްމާޢީލް ޝަފީޢު,isdhoo dhaairaa,އިސްދޫ ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--071,alfaazil yoosuf nasheedhu,އަލްފާޟިލް ޔޫސުފް ނަޝީދު,gamu dhaairaa,ގަމު ދާއިރާ,288000,3,,rti-20th-majlis-insurance-2024-2026
rti20--072,alfaazil abdhuraheem abdhuullah,އަލްފާޟިލް ޢަބްދުއްރަޙީމް ޢަބްދުﷲ,fonadhoo dhaairaa,ފޮނަދޫ ދާއިރާ,96000,3,,rti-20th-majlis-insurance-2024-2026
rti20--073,alfaazil ahmadhu shaakiru,އަލްފާޟިލް އަޙްމަދު ޝާކިރު,maavashu dhaairaa,މާވަށު ދާއިރާ,240000,3,,rti-20th-majlis-insurance-2024-2026
rti20--074,alfaazil aazim abdhulazeez,އަލްފާޟިލް ޢާޒިމް ޢަބްދުލްޢަޒީޒް,vilingili dhaairaa,ވިލިނގިލި ދާއިރާ,216000,3,,rti-20th-majlis-insurance-2024-2026
rti20--075,alfaazil muhamadhu fazeel,އަލްފާޟިލް މުޙައްމަދު ފަޟީލް,dhaandhoo dhaairaa,ދާންދޫ ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--076,alfaazil asadhuullah shihaab,އަލްފާޟިލް އަސަދުﷲ ޝިހާބް,gemanafushi dhaairaa,ގެމަނަފުށި ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--077,alfaazil ibraaheemdheedhee,އަލްފާޟިލް އިބްރާހީމްދީދީ,kolamaafushi dhaairaa,ކޮލަމާފުށި ދާއިރާ,240000,3,,rti-20th-majlis-insurance-2024-2026
rti20--078,alfaazil saudhuullah hilmee,އަލްފާޟިލް ސަޢުދުﷲ ޙިލްމީ,thinadhoo uthuru dhaairaa,ތިނަދޫ އުތުރު ދާއިރާ,96000,3,,rti-20th-majlis-insurance-2024-2026
rti20--079,alfaazil muhamadhu alsan ahmadhu,އަލްފާޟިލް މުޙައްމަދު އަލްސަން އަޙްމަދު,thinadhoo dhekunu dhaairaa,ތިނަދޫ ދެކުނު ދާއިރާ,48000,3,,rti-20th-majlis-insurance-2024-2026
rti20--080,alfaazil muhamadhu shameez,އަލްފާޟިލް މުޙައްމަދު ޝަމީޒް,madaveli dhaairaa,މަޑަވެލި ދާއިރާ,120000,3,,rti-20th-majlis-insurance-2024-2026
rti20--081,alfaazil ashraf rasheedhu,އަލްފާޟިލް އަޝްރަފް ރަޝީދު,faresmaathodaa dhaairaa,ފަރެސްމާތޮޑާ ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--082,alfaazil muhamadhu alee,އަލްފާޟިލް މުޙައްމަދު ޢަލީ,gadhoo dhaairaa,ގައްދޫ ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--083,alfaazil hamadhu abdhuullah,އަލްފާޟިލް ޙަމަދު ޢަބްދުﷲ,fuvamulaku uthuru dhaairaa,ފުވައްމުލަކު އުތުރު ދާއިރާ,120000,3,,rti-20th-majlis-insurance-2024-2026
rti20--084,alfaazil alee fazaadhu,އަލްފާޟިލް ޢަލީ ފަޒާދު,fuvamulaku medhu dhaairaa,ފުވައްމުލަކު މެދު ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--085,alfaazil ibraaheem husain,އަލްފާޟިލް އިބްރާހީމް ޙުސައިން,fuvamulaku dhekunu dhaairaa,ފުވައްމުލަކު ދެކުނު ދާއިރާ,216000,3,,rti-20th-majlis-insurance-2024-2026
rti20--086,alfaazil muhamadhu shaahidhu,އަލްފާޟިލް މުޙައްމަދު ޝާހިދު,hulhudhoo dhaairaa,ހުޅުދޫ ދާއިރާ,240000,3,,rti-20th-majlis-insurance-2024-2026
rti20--087,alfaazil ismaaeel nizaaru,އަލްފާޟިލް އިސްމާޢީލް ނިޒާރު,feydhoo uthuru dhaairaa,ފޭދޫ އުތުރު ދާއިރާ,168000,3,,rti-20th-majlis-insurance-2024-2026
rti20--088,alfaazil ibraaheemdheedhee,އަލްފާޟިލް އިބްރާހީމްދީދީ,feydhoo dhekunu dhaairaa,ފޭދޫ ދެކުނު ދާއިރާ,120000,3,,rti-20th-majlis-insurance-2024-2026
rti20--089,alfaazil ahmadhudheedhee,އަލްފާޟިލް އަޙްމަދުދީދީ,maradhoo dhaairaa,މަރަދޫ ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--090,alfaazil muhamadhu sinaan,އަލްފާޟިލް މުޙައްމަދު ސިނާން,hithadhoo uthuru dhaairaa,ހިތަދޫ އުތުރު ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--091,alfaazil ahmadhu azaan maruzooqu,އަލްފާޟިލް އަޙްމަދު އަޒާން މަރުޒޫޤު,hithadhoo medhu dhaairaa,ހިތަދޫ މެދު ދާއިރާ,96000,3,,rti-20th-majlis-insurance-2024-2026
rti20--092,alfaazil ibraaheem naazil,އަލްފާޟިލް އިބްރާހީމް ނާޒިލް,hithadhoo dhekunu dhaairaa,ހިތަދޫ ދެކުނު ދާއިރާ,192000,3,,rti-20th-majlis-insurance-2024-2026
rti20--093,alfaazil abdhurahmaan,އަލްފާޟިލް ޢަބްދުއްރަޙްމާން,adoomeedhoo dhaairaa,އައްޑޫމީދޫ ދާއިރާ,144000,3,,rti-20th-majlis-insurance-2024-2026
